source_id,source_name,relation,target_id,target_name,note,relation_type
2,firelink shrine,is_home_to,898,fire keeper,Firelink Shrine is the residence of the Fire Keeper.,location
2,firelink shrine,has_function,1368,major bonfire,Firelink Shrine houses one of the most important bonfires in Lordran.,structure
2,firelink shrine,mentioned_by,774,big hat logan,Logan mentions Firelink Shrine as a safe place after being rescued.,narrative_reference
2,firelink shrine,serves_as,1358,hub location,Serves as the main hub for travel and interactions in Lordran.,function
3,valley of drakes,connected to,4,new londo,Adjacent region connected by iron bars,location_connect
4,new londo ruins,sealed by,892,sealers,City was sealed away by powerful magic and banishment sorcerers to contain the Abyss and the Darkwraiths.,event
4,new londo ruins,location of,186,tin banishment catalyst,Tin Banishment Catalyst is found in New Londo Ruins.,location
4,new londo ruins,origin of,810,darkwraiths,Fallen city where the Darkwraiths originated.,lore
4,new londo ruins,linked to,1413,lifedrain,Darkwraiths' ability of Lifedrain is linked to this region.,mechanic
4,new londo ruins,inhabited by,771,ingward,"Ingward resides here, guarding the seal placed over the Abyss.",npc
4,new londo ruins,ruled by,72,four kings,Four Kings once ruled the city before succumbing to the Dark.,lore
4,new londo ruins,associated with,1190,curse,City known for cursed ghosts and haunted atmosphere.,status
4,new londo ruins,contains,1287,healer,Mentioned as housing a healer connected to curse treatment.,npc
4,new londo ruins,linked to,790,vamos,Associated with ember used by Vamos for smithing.,item
5,the abyss,origin of sorceries,1069,abyss sorceries,The Abyss is the origin of dark sorceries associated with human souls and physical damage.,conceptual
5,the abyss,consumed,58,artorias,Artorias is said to have been consumed by the Abyss during his attempt to resist it.,event
5,the abyss,overtook,869,oolacile,The Abyss overtook Oolacile and is associated with the corruption of the land.,event
5,the abyss,home to,810,darkwraiths,The Abyss is considered the home of the Darkwraiths.,location
5,the abyss,traversed by,58,artorias,Knight Artorias is believed to have traversed the Abyss in legend.,event
6,undead burg,contains,1200,great bridge,The Undead Burg contains a great bridge connecting major areas.,location
6,undead burg,contains,1117,basement entrance,A basement entrance leads to the Lower Undead Burg.,location
6,undead burg,connected to,1182,missing characters,The area has ties to several missing individuals and tragic fates.,lore
6,undead burg,contains,1030,lower undead burg,The lower district is known for its increased danger and hostile inhabitants.,location
9,depths,leads to,10,blighttown,Connected via underground passages and key-sealed gate,geographical
9,depths,beneath,6,undead burg,Located directly beneath Undead Burg,geographical
10,blighttown,connected to,9,depths,Region sealed off from the Depths and plagued by disease,geographical
10,blighttown,inhabited by,12,daughter of chaos,Region where she resides beneath the swamp,inhabitant
10,blighttown,contains path to,14,lost izalith,One of the swamp's deep tunnels leads toward the ruins of Izalith,geographical
12,daughter of chaos,sibling of,67,quelaag,They are both daughters of chaos,social
12,daughter of chaos,resides in,10,blighttown,She lives hidden beneath the Blighttown swamp,location
12,daughter of chaos,is,955,fair lady,Alternate name used by some NPCs,alias
14,lost izalith,origin of,340,sunlight maggot,Parasitic creature tied to this ruined city's depths,lore
14,lost izalith,associated with,828,witch of izalith,Ruined city linked to the failed flame duplication,lore
14,lost izalith,accessible from,10,blighttown,Can be reached from Blighttown through Demon Ruins,geographical
16,ash lake,home of,17,stone dragon,"Ash Lake is a mythic subterranean realm and the home of the Stone Dragon, a descendant of the ancient dragons.",location-to-entity
16,ash lake,remnant of,938,age of ancients,"Ash Lake is described as a remnant of the Age of Dragons, indicating its existence predates the Age of Fire.",location-to-era
17,stone dragon,resides in,16,ash lake,The Stone Dragon resides in Ash Lake and is linked to the ancient dragons.,entity-to-location
18,darkroot garden,connected to,19,darkroot basin,"Darkroot Garden is geographically and thematically connected to Darkroot Basin, often sharing NPC and boss interactions.",location-to-location
18,darkroot garden,guards,931,grave of artorias,Darkroot Garden contains the sealed door that leads to the Grave of Artorias.,location-to-location
18,darkroot garden,home to,56,moonlight butterfly,The Moonlight Butterfly is a magical creature that dwells in Darkroot Garden.,location-to-entity
27,the catacombs,home to,790,vamos,"The Catacombs is home to the reclusive blacksmith Vamos, who specializes in fire and occult weapon smithing.",location-to-entity
27,the catacombs,traversed by,783,reah,"Reah and her cleric companions pass through the Catacombs as part of their pilgrimage, eventually becoming stranded.",location-to-entity
28,tomb of the giants,domain of,63,gravelord nito,"The Tomb of the Giants is a place of death and darkness, associated directly with Nito, first of the dead.",location-to-entity
30,sen's fortress,leads to,31,anor londo,Fortress leads directly to Anor Londo via Iron Golem transport.,location-location
30,sen's fortress,guarded by,53,iron golem,Iron Golem stands at the top as the final guardian before Anor Londo.,location-character
